key_length,assignment,comparision
32,9814,11573
64,34133,40603
96,170459,205948
128,260699,312204
160,558185,668495
192,1331035,1592230
224,1477233,1767609
256,1733065,2074207
288,2116578,2534260
320,2327607,2783849
352,3317485,3975795
384,4526207,5439597
416,5307630,6387468
448,7719203,9302046
480,9188722,11062099
512,10236145,12312190
544,11665142,14019294
576,13841796,16628286
608,14354152,17232589
640,15929736,19107840
672,17768507,21312940
704,25286191,30351606
736,29729645,35684899
768,33206220,39829928
800,36250555,43508009
832,40363761,48485928
864,43039578,51709413
896,57723799,69225095
928,61456869,73702481
960,64981663,77932669
992,74117622,88853511
1024,85563627,102650793
1056,85954681,103121951
1088,98713875,118502001
1120,114272783,137138077
1152,128072714,153641847
1184,134630023,161487959
1216,160286712,192097535
1248,166688655,199775386
1280,173213907,207592592
1312,177296252,212493481
1344,185280071,222126099
1376,189088747,226712247
1408,203759563,244307771
1440,263966374,316348902
1472,282426930,338560973
1504,294177741,352706456
1536,300336999,360091005
1568,306537315,367528309
1600,316189985,379128637
1632,351948875,422049640
1664,363795931,436248845
1696,383585942,459978614
1728,391452264,469389456
1760,414070918,496443973
1792,452067823,541765858
1824,493788033,591882687
1856,561529241,673166554
1888,580881744,696375737
1920,599939429,719295405
1952,635555557,762096597
1984,650548763,780117550
2016,671969127,805840230
2048,696496087,835191045
